DATE,TMAX,TMIN
20130101,34.0,26.0
20130102,29.5,15.0
20130103,34.5,12.0
20130104,36.5,23.0
20130105,41.0,19.0
20130106,40.0,28.0
20130107,39.5,19.0
20130108,50.0,20.0
20130109,53.5,26.5
20130110,45.0,24.0
20130111,62.0,41.0
20130112,65.5,43.0
20130113,67.0,36.0
20130114,35.0,24.0
20130115,32.0,22.0
20130116,36.0,26.0
20130117,44.0,28.0
20130118,42.0,19.0
20130119,54.0,34.0
20130120,48.0,28.0
20130121,28.0,13.5
20130122,20.0,7.0
20130123,22.0,10.0
20130124,24.0,14.0
20130125,26.0,18.0
20130126,32.5,18.0
20130127,37.5,17.0
20130128,52.0,34.0
20130129,64.0,47.0
20130130,68.0,34.0
20130131,34.0,19.0
20130201,19.0,7.0
20130202,30.5,11.5
20130203,29.0,16.0
20130204,35.0,13.0
20130205,37.0,22.5
20130206,37.0,26.5
20130207,59.0,29.0
20130208,53.5,31.5
20130209,41.0,21.0
20130210,56.0,25.0
20130211,53.0,33.0
20130212,50.0,28.0
20130213,37.0,23.0
20130214,53.0,27.0
20130215,43.0,26.0
20130216,31.5,17.5
20130217,31.5,13.0
20130218,59.0,18.5
20130219,47.0,25.0
20130220,30.5,19.0
20130221,32.0,20.0
20130222,43.0,27.0
20130223,44.0,30.0
20130224,43.0,25.0
20130225,45.5,20.5
20130226,47.0,34.0
20130227,43.0,34.0
20130228,38.0,33.0
20130301,37.0,31.0
20130302,30.5,26.5
20130303,32.0,21.0
20130304,42.0,16.0
20130305,40.0,30.0
20130306,34.0,29.0
20130307,37.5,29.0
20130308,44.0,24.5
20130309,57.0,25.0
20130310,68.0,43.0
20130311,55.0,38.0
20130312,46.0,33.0
20130313,36.0,26.0
20130314,44.0,21.0
20130315,53.0,26.0
20130316,59.0,37.0
20130317,38.0,34.0
20130318,50.0,34.0
20130319,46.0,29.0
20130320,40.0,24.0
20130321,34.0,20.0
20130322,45.0,18.0
20130323,52.0,28.0
20130324,40.0,32.0
20130325,35.0,30.0
20130326,41.5,31.5
20130327,45.0,28.0
20130328,50.5,24.5
20130329,56.0,25.0
20130330,60.5,29.0
20130331,59.5,41.0
20130401,49.0,34.0
20130402,47.5,23.0
20130403,49.0,23.0
20130404,55.0,30.0
20130405,62.0,29.0
20130406,68.0,34.0
20130407,73.5,54.5
20130408,73.0,52.0
20130409,80.5,48.0
20130410,83.0,60.0
20130411,71.0,58.0
20130412,59.0,40.0
20130413,59.0,37.0
20130414,70.5,35.5
20130415,69.0,51.0
20130416,80.0,55.0
20130417,79.0,57.0
20130418,81.0,60.0
20130419,76.0,40.0
20130420,51.0,35.5
20130421,56.0,32.5
20130422,69.0,33.0
20130423,71.0,40.0
20130424,67.0,36.0
20130425,60.0,32.0
20130426,62.0,31.0
20130427,64.0,38.0
20130428,67.5,51.5
20130429,65.0,50.0
20130430,77.0,46.0
20130501,83.0,49.0
20130502,76.0,58.0
20130503,77.0,58.0
20130504,73.5,57.0
20130505,60.0,53.0
20130506,63.0,53.0
20130507,72.0,56.0
20130508,77.5,52.0
20130509,80.5,53.0
20130510,70.0,57.0
20130511,61.5,44.5
20130512,58.0,37.5
20130513,62.0,37.0
20130514,80.0,41.0
20130515,86.0,60.0
20130516,78.0,62.0
20130517,80.0,58.0
20130518,79.0,63.0
20130519,83.0,61.5
20130520,84.5,63.5
20130521,86.0,64.5
20130522,80.0,62.0
20130523,71.0,53.0
20130524,66.5,46.5
20130525,66.0,43.0
20130526,71.0,51.0
20130527,83.0,55.0
20130528,82.5,63.0
20130529,85.0,66.5
20130530,87.5,67.0
20130531,84.5,69.0
20130601,81.0,66.5
20130602,79.0,64.5
20130603,72.0,52.0
20130604,76.0,50.0
20130605,82.0,52.0
20130606,76.0,57.0
20130607,76.0,60.0
20130608,75.0,57.0
20130609,81.0,60.0
20130610,79.0,64.0
20130611,85.0,63.0
20130612,90.0,66.0
20130613,83.0,64.0
20130614,81.0,56.0
20130615,83.0,56.0
20130616,78.0,64.0
20130617,87.0,63.0
20130618,86.0,66.0
20130619,83.0,56.0
20130620,85.0,56.0
20130621,87.0,58.0
20130622,88.0,65.0
20130623,88.0,64.0
20130624,86.0,63.0
20130625,90.0,66.5
20130626,87.0,67.0
20130627,86.0,67.0
20130628,86.0,65.0
20130629,77.5,61.0
20130630,78.5,64.0
20130701,79.0,63.0
20130702,81.0,65.0
20130703,81.0,66.0
20130704,72.5,67.0
20130705,77.5,66.0
20130706,76.5,67.0
20130707,82.5,65.0
20130708,87.0,66.0
20130709,89.0,74.0
20130710,90.0,70.0
20130711,83.0,66.0
20130712,81.5,58.5
20130713,84.0,65.5
20130714,89.5,66.5
20130715,91.0,70.0
20130716,93.0,71.0
20130717,93.0,73.0
20130718,93.5,72.5
20130719,91.0,74.0
20130720,90.0,71.0
20130721,88.0,68.0
20130722,82.0,69.0
20130723,88.0,68.0
20130724,79.0,59.0
20130725,78.0,55.0
20130726,80.0,56.0
20130727,77.0,62.0
20130728,74.5,53.5
20130729,79.0,54.0
20130730,80.0,56.0
20130731,77.5,65.0
20130801,82.0,64.0
20130802,84.0,57.0
20130803,82.0,65.0
20130804,79.5,58.5
20130805,80.0,54.0
20130806,82.0,58.0
20130807,84.0,67.0
20130808,85.0,70.0
20130809,83.0,69.0
20130810,85.0,68.0
20130811,87.0,67.5
20130812,86.0,63.0
20130813,81.0,60.0
20130814,72.0,51.0
20130815,75.0,49.5
20130816,79.0,52.0
20130817,83.0,54.5
20130818,83.5,58.0
20130819,85.0,61.0
20130820,87.0,60.5
20130821,87.0,64.0
20130822,88.0,66.5
20130823,86.0,65.0
20130824,87.0,59.0
20130825,87.0,59.5
20130826,89.0,61.0
20130827,90.0,69.0
20130828,95.0,74.0
20130829,87.0,69.0
20130830,89.0,66.0
20130831,91.0,69.0
20130901,86.0,68.0
20130902,86.0,69.0
20130903,76.0,58.0
20130904,80.0,54.0
20130905,85.0,57.0
20130906,82.0,52.5
20130907,85.5,55.0
20130908,88.5,63.0
20130909,90.0,66.5
20130910,92.0,72.0
20130911,92.0,69.0
20130912,82.0,67.0
20130913,67.0,53.5
20130914,71.0,43.0
20130915,78.0,44.0
20130916,73.5,54.5
20130917,77.0,50.0
20130918,77.5,54.5
20130919,81.0,61.5
20130920,86.0,64.0
20130921,75.0,55.5
20130922,69.5,47.0
20130923,70.0,45.0
20130924,75.0,44.0
20130925,74.5,47.5
20130926,78.0,47.0
20130927,80.0,48.0
20130928,80.0,50.0
20130929,69.0,53.0
20130930,73.0,57.5
20131001,77.5,55.5
20131002,79.0,56.5
20131003,79.5,63.0
20131004,82.5,61.5
20131005,81.0,64.0
20131006,74.0,52.0
20131007,62.0,45.0
20131008,68.0,41.0
20131009,73.0,43.0
20131010,74.0,41.0
20131011,78.0,44.0
20131012,78.5,48.0
20131013,75.5,51.0
20131014,72.0,44.0
20131015,74.0,48.0
20131016,70.0,47.5
20131017,56.5,42.0
20131018,64.0,39.5
20131019,51.5,36.5
20131020,61.0,36.0
20131021,66.0,36.0
20131022,55.0,33.0
20131023,48.0,35.0
20131024,45.0,35.0
20131025,49.0,28.5
20131026,54.0,28.0
20131027,58.0,31.0
20131028,62.0,30.0
20131029,57.5,31.0
20131030,63.0,49.0
20131031,65.0,55.0
20131101,64.5,49.0
20131102,58.0,42.0
20131103,56.0,36.0
20131104,58.0,34.0
20131105,61.5,43.5
20131106,65.5,44.5
20131107,50.0,37.0
20131108,51.0,29.0
20131109,61.0,32.0
20131110,52.0,29.0
20131111,56.0,26.0
20131112,37.5,24.5
20131113,40.0,20.0
20131114,53.5,23.0
20131115,54.0,30.0
20131116,61.0,45.0
20131117,65.0,49.0
20131118,54.0,34.0
20131119,42.0,27.0
20131120,50.0,27.0
20131121,55.0,35.5
20131122,55.0,38.5
20131123,40.0,23.0
20131124,29.0,15.0
20131125,38.5,15.5
20131126,36.0,31.0
20131127,34.0,21.5
20131128,34.0,17.0
20131129,41.0,17.0
20131130,51.0,20.0
20131201,53.0,27.0
20131202,52.0,34.5
20131203,52.0,30.0
20131204,63.0,37.0
20131205,65.0,34.0
20131206,34.0,27.0
20131207,27.0,16.0
20131208,32.0,19.0
20131209,33.0,20.0
20131210,29.0,16.0
20131211,34.5,9.0
20131212,26.0,7.0
20131213,37.0,10.0
20131214,38.5,30.0
20131215,33.0,27.5
20131216,31.0,25.0
20131217,34.0,28.0
20131218,38.0,24.0
20131219,53.5,28.0
20131220,60.0,49.0
20131221,67.5,57.5
20131222,62.5,40.0
20131223,39.0,26.0
20131224,27.0,14.0
20131225,33.0,17.0
20131226,40.0,25.5
20131227,48.0,26.0
20131228,53.0,30.0
20131229,46.0,33.0
20131230,32.5,21.5
20131231,33.5,22.5
20140101,47.5,21.5
20140102,36.0,11.0
20140103,18.0,1.0
20140104,38.0,4.0
20140105,42.5,23.0
20140106,25.5,-6.5
20140107,10.0,-7.0
20140108,25.0,2.0
20140109,35.5,15.0
20140110,50.0,24.0
20140111,52.5,35.0
20140112,46.0,33.0
20140113,50.0,31.5
20140114,51.0,29.5
20140115,40.0,20.5
20140116,30.5,17.0
20140117,32.0,13.0
20140118,28.5,12.0
20140119,33.5,19.5
20140120,42.0,31.0
20140121,32.5,-1.0
20140122,16.0,-6.5
20140123,17.0,-2.5
20140124,16.5,-5.5
20140125,34.0,10.0
20140126,44.0,9.0
20140127,42.0,1.0
20140128,11.0,-9.0
20140129,12.0,-7.0
20140130,25.0,3.0
20140131,38.0,20.0
20140201,56.0,33.0
20140202,48.0,28.0
20140203,33.5,21.0
20140204,32.5,20.0
20140205,31.5,23.0
20140206,25.0,11.5
20140207,22.5,0.0
20140208,26.0,10.0
20140209,28.0,18.0
20140210,22.5,3.5
20140211,21.5,-1.5
20140212,28.0,-1.5
20140213,40.5,5.0
20140214,37.5,17.0
20140215,29.0,15.0
20140216,30.0,17.0
20140217,38.0,9.0
20140218,46.0,22.0
20140219,51.0,33.0
20140220,59.5,30.5
20140221,51.5,32.0
20140222,60.0,32.0
20140223,40.0,25.0
20140224,36.0,19.0
20140225,33.5,21.5
20140226,26.5,11.5
20140227,26.0,11.5
20140228,38.0,10.0
20140301,53.0,24.0
20140302,40.0,17.0
20140303,20.5,9.5
20140304,34.0,7.5
20140305,38.0,14.5
20140306,46.0,21.0
20140307,59.5,21.0
20140308,58.0,27.0
20140309,49.0,30.0
20140310,62.5,31.5
20140311,74.0,42.5
20140312,61.0,23.0
20140313,38.0,17.0
20140314,63.0,30.0
20140315,60.0,37.0
20140316,42.0,27.0
20140317,39.5,23.0
20140318,56.0,24.0
20140319,55.0,34.5
20140320,54.5,34.0
20140321,69.0,33.0
20140322,58.0,38.0
20140323,40.0,26.0
20140324,40.5,20.5
20140325,39.0,22.5
20140326,41.0,17.0
20140327,58.5,27.5
20140328,59.5,38.5
20140329,45.0,36.0
20140330,55.0,29.0
20140331,66.0,28.0
20140401,76.0,45.0
20140402,61.0,45.5
20140403,63.5,51.5
20140404,63.5,42.0
20140405,53.0,36.0
20140406,59.0,30.0
20140407,57.0,43.0
20140408,60.0,43.0
20140409,62.0,40.0
20140410,74.0,37.5
20140411,74.0,45.0
20140412,78.0,40.0
20140413,81.0,62.0
20140414,73.0,38.0
20140415,41.5,28.5
20140416,50.5,24.0
20140417,67.0,30.0
20140418,70.5,38.5
20140419,69.0,42.0
20140420,76.0,41.0
20140421,77.0,43.0
20140422,69.5,44.5
20140423,61.5,37.5
20140424,66.0,45.0
20140425,66.0,47.5
20140426,80.0,46.0
20140427,76.0,47.0
20140428,70.5,49.5
20140429,76.5,54.0
20140430,72.5,52.5
20140501,61.5,45.0
20140502,59.0,44.0
20140503,68.0,45.0
20140504,74.0,48.0
20140505,71.0,47.0
20140506,75.0,48.0
20140507,83.0,49.0
20140508,85.0,58.0
20140509,76.5,62.5
20140510,72.0,58.0
20140511,83.0,55.0
20140512,85.0,62.5
20140513,87.0,63.0
20140514,76.0,60.0
20140515,66.5,42.0
20140516,56.5,39.0
20140517,58.0,40.0
20140518,65.0,37.0
20140519,70.5,39.5
20140520,78.5,51.0
20140521,82.5,59.0
20140522,81.0,62.0
20140523,76.0,52.0
20140524,78.0,49.0
20140525,81.0,54.0
20140526,86.0,55.0
20140527,87.0,65.0
20140528,86.0,65.5
20140529,85.5,65.5
20140530,84.5,60.0
20140531,84.0,57.0
20140601,88.0,57.0
20140602,82.0,68.5
20140603,85.0,68.0
20140604,82.0,63.0
20140605,78.0,57.0
20140606,80.0,53.0
20140607,81.0,54.0
20140608,75.0,59.0
20140609,73.5,56.5
20140610,77.5,59.5
20140611,77.0,63.0
20140612,77.5,62.0
20140613,77.0,59.5
20140614,77.0,47.0
20140615,86.0,52.0
20140616,88.0,66.0
20140617,89.5,68.0
20140618,91.0,69.0
20140619,90.0,69.5
20140620,88.0,68.0
20140621,85.0,67.0
20140622,87.0,65.5
20140623,90.0,67.0
20140624,88.0,69.0
20140625,86.5,67.5
20140626,86.5,65.0
20140627,88.0,65.0
20140628,86.0,69.0
20140629,84.0,70.0
20140630,86.5,67.0
20140701,89.0,69.0
20140702,86.0,66.0
20140703,75.0,57.5
20140704,79.0,50.0
20140705,82.0,53.0
20140706,83.0,58.0
20140707,86.5,68.0
20140708,84.0,69.0
20140709,84.0,62.0
20140710,84.0,60.5
20140711,86.0,58.5
20140712,86.0,61.0
20140713,91.0,72.0
20140714,84.0,66.5
20140715,75.5,57.0
20140716,75.0,52.5
20140717,77.0,52.5
20140718,76.5,53.5
20140719,75.0,63.0
20140720,82.0,62.0
20140721,87.0,61.5
20140722,91.0,65.0
20140723,87.0,68.0
20140724,78.0,58.0
20140725,79.0,53.0
20140726,85.0,63.0
20140727,83.0,67.0
20140728,76.5,56.0
20140729,74.0,50.5
20140730,80.0,55.5
20140731,83.0,58.5
20140801,85.0,59.5
20140802,83.0,60.0
20140803,86.0,58.5
20140804,88.0,59.0
20140805,86.0,59.0
20140806,83.5,63.0
20140807,82.0,61.0
20140808,78.0,63.0
20140809,81.5,64.5
20140810,85.0,70.0
20140811,85.0,69.0
20140812,77.5,64.0
20140813,80.5,59.0
20140814,82.5,58.0
20140815,80.5,51.5
20140816,79.0,50.0
20140817,80.0,67.0
20140818,84.5,67.5
20140819,88.5,65.5
20140820,87.5,64.5
20140821,84.0,66.5
20140822,87.0,70.0
20140823,91.0,69.0
20140824,90.0,71.0
20140825,90.0,68.5
20140826,91.0,69.0
20140827,92.0,68.5
20140828,85.5,67.0
20140829,89.0,66.0
20140830,88.0,67.0
20140831,83.0,70.0
20140901,87.0,69.0
20140902,80.5,64.5
20140903,85.0,64.0
20140904,88.5,63.5
20140905,90.5,67.0
20140906,82.0,61.0
20140907,77.0,55.0
20140908,82.0,51.5
20140909,84.0,55.0
20140910,83.0,60.5
20140911,77.0,57.5
20140912,66.0,56.0
20140913,67.0,47.0
20140914,71.0,44.0
20140915,71.0,45.5
20140916,62.5,49.5
20140917,68.0,46.5
20140918,73.5,46.5
20140919,76.5,47.5
20140920,82.0,51.0
20140921,78.0,55.0
20140922,67.0,44.0
20140923,73.0,40.5
20140924,78.5,43.5
20140925,80.5,45.0
20140926,82.0,48.5
20140927,82.0,51.0
20140928,83.0,52.0
20140929,84.0,52.5
20140930,79.5,48.0
20141001,76.0,43.5
20141002,86.5,50.5
20141003,75.5,46.0
20141004,52.0,42.0
20141005,62.0,40.0
20141006,63.0,40.5
20141007,62.0,44.5
20141008,70.0,45.5
20141009,59.0,43.0
20141010,57.0,50.0
20141011,61.0,42.0
20141012,65.0,42.0
20141013,77.5,58.0
20141014,73.5,51.5
20141015,61.0,52.0
20141016,62.5,51.5
20141017,72.0,50.0
20141018,58.0,47.0
20141019,58.0,41.0
20141020,64.5,42.0
20141021,56.5,45.0
20141022,55.0,42.5
20141023,61.0,37.0
20141024,66.5,38.0
20141025,74.0,40.0
20141026,71.0,39.0
20141027,80.5,40.5
20141028,72.5,49.0
20141029,60.0,41.0
20141030,55.5,35.5
20141031,48.0,36.5
20141101,42.0,25.0
20141102,49.0,22.0
20141103,64.0,26.0
20141104,67.0,41.0
20141105,58.0,45.0
20141106,54.0,42.0
20141107,47.5,33.5
20141108,57.0,31.0
20141109,54.0,31.0
20141110,64.0,32.0
20141111,67.0,38.0
20141112,39.5,32.0
20141113,33.0,24.0
20141114,35.0,18.0
20141115,37.0,14.0
20141116,39.0,30.0
20141117,34.0,15.0
20141118,22.0,12.0
20141119,41.0,11.0
20141120,33.0,17.0
20141121,34.0,12.0
20141122,61.0,19.0
20141123,60.0,43.0
20141124,62.0,38.5
20141125,44.5,31.0
20141126,40.0,25.0
20141127,35.0,26.0
20141128,35.0,25.0
20141129,58.0,32.0
20141130,67.0,56.0
20141201,58.5,30.5
20141202,38.0,30.0
20141203,41.0,26.5
20141204,38.0,25.0
20141205,45.5,35.0
20141206,49.0,35.0
20141207,43.0,28.0
20141208,48.0,31.0
20141209,44.0,36.5
20141210,38.0,31.0
20141211,40.5,26.0
20141212,43.5,23.0
20141213,45.0,36.0
20141214,47.0,35.0
20141215,49.5,35.5
20141216,50.0,36.5
20141217,36.5,27.5
20141218,30.0,24.5
20141219,31.0,23.0
20141220,32.0,24.0
20141221,37.0,20.0
20141222,51.0,24.0
20141223,54.5,42.5
20141224,56.5,39.0
20141225,41.0,29.0
20141226,53.0,24.0
20141227,52.0,33.0
20141228,47.0,32.0
20141229,36.0,25.5
20141230,34.5,22.5
20141231,28.0,13.0
20150101,38.0,19.0
20150102,38.5,24.0
20150103,61.0,35.0
20150104,60.0,24.0
20150105,23.0,12.5
20150106,24.5,15.0
20150107,18.5,1.5
20150108,23.5,-3.0
20150109,25.0,5.0
20150110,25.0,1.0
20150111,38.0,16.0
20150112,37.0,25.5
20150113,28.0,20.0
20150114,27.5,15.5
20150115,39.5,19.5
20150116,41.0,22.0
20150117,53.0,24.0
20150118,50.0,34.0
20150119,50.0,24.0
20150120,53.0,29.0
20150121,51.0,34.0
20150122,36.5,31.5
20150123,38.0,31.0
20150124,43.0,25.0
20150125,41.0,26.0
20150126,29.5,17.5
20150127,29.0,17.0
20150128,36.0,11.0
20150129,48.5,29.5
20150130,35.0,19.0
20150131,38.0,14.0
20150201,45.0,31.0
20150202,41.5,17.5
20150203,35.5,17.0
20150204,44.5,22.5
20150205,25.5,11.0
20150206,33.5,9.0
20150207,57.0,22.0
20150208,59.0,33.0
20150209,50.0,26.0
20150210,33.5,22.5
20150211,45.0,22.5
20150212,32.5,19.5
20150213,30.0,11.5
20150214,35.0,10.0
20150215,20.0,6.0
20150216,13.0,4.0
20150217,23.0,-7.0
20150218,19.0,3.0
20150219,9.0,-9.5
20150220,21.0,-12.0
20150221,34.0,20.0
20150222,33.0,17.0
20150223,22.0,0.0
20150224,27.0,-10.0
20150225,35.5,13.0
20150226,27.0,10.5
20150227,23.0,4.5
20150228,28.0,5.0
20150301,34.0,22.0
20150302,33.0,19.5
20150303,47.5,25.0
20150304,41.0,23.0
20150305,25.0,7.0
20150306,27.0,1.0
20150307,48.0,21.0
20150308,53.0,26.0
20150309,56.0,28.0
20150310,50.0,39.0
20150311,64.0,41.0
20150312,60.0,32.0
20150313,53.0,40.0
20150314,62.0,41.0
20150315,64.0,33.0
20150316,76.0,46.0
20150317,62.5,34.0
20150318,48.5,27.0
20150319,52.5,38.5
20150320,49.0,40.0
20150321,67.0,39.0
20150322,52.0,35.0
20150323,48.0,29.5
20150324,48.0,31.0
20150325,68.0,42.0
20150326,52.5,38.5
20150327,39.0,27.0
20150328,38.0,18.0
20150329,52.0,19.0
20150330,59.5,33.0
20150331,66.5,35.0
20150401,67.0,30.0
20150402,66.5,39.5
20150403,66.0,45.0
20150404,55.0,32.0
20150405,64.0,31.0
20150406,69.0,38.0
20150407,67.5,51.5
20150408,70.5,53.0
20150409,76.0,56.5
20150410,73.0,51.0
20150411,62.0,37.0
20150412,74.0,38.0
20150413,79.0,48.0
20150414,64.0,48.0
20150415,64.0,48.0
20150416,74.0,55.0
20150417,75.0,54.0
20150418,78.0,47.0
20150419,67.0,58.0
20150420,63.5,48.0
20150421,64.0,41.5
20150422,55.0,39.0
20150423,57.0,31.5
20150424,61.0,30.0
20150425,55.0,42.0
20150426,60.0,40.0
20150427,63.0,34.0
20150428,64.0,35.0
20150429,69.0,38.0
20150430,63.0,44.0
20150501,73.0,44.0
20150502,76.0,45.0
20150503,77.0,46.0
20150504,80.0,51.5
20150505,83.5,55.5
20150506,86.0,54.0
20150507,87.0,56.0
20150508,87.5,57.0
20150509,87.0,62.0
20150510,85.0,64.0
20150511,87.0,63.0
20150512,71.0,51.0
20150513,69.0,42.0
20150514,70.0,45.0
20150515,84.0,53.0
20150516,78.0,63.0
20150517,82.0,66.0
20150518,77.0,63.0
20150519,70.0,51.0
20150520,62.0,43.0
20150521,60.0,42.0
20150522,76.0,43.0
20150523,80.0,46.0
20150524,84.0,51.0
20150525,79.0,61.0
20150526,86.0,64.0
20150527,84.0,64.0
20150528,82.0,62.0
20150529,83.0,65.0
20150530,85.0,67.0
20150531,74.0,57.0
20150601,59.0,53.0
20150602,62.0,52.0
20150603,73.0,50.0
20150604,83.0,54.0
20150605,86.0,55.0
20150606,78.0,62.0
20150607,88.0,58.0
20150608,79.0,60.0
20150609,82.5,58.0
20150610,90.0,58.0
20150611,92.5,63.0
20150612,91.0,67.5
20150613,89.0,69.0
20150614,91.0,73.0
20150615,90.0,71.0
20150616,86.0,72.0
20150617,84.0,71.0
20150618,88.5,69.5
20150619,77.0,66.0
20150620,81.0,69.0
20150621,87.0,67.0
20150622,86.5,67.0
20150623,88.5,66.0
20150624,83.5,60.5
20150625,84.0,62.5
20150626,81.5,66.5
20150627,70.0,62.0
20150628,79.0,56.0
20150629,79.0,61.0
20150630,79.0,61.0
20150701,79.0,59.0
20150702,78.5,65.5
20150703,76.0,65.5
20150704,81.5,63.5
20150705,79.5,62.5
20150706,84.5,60.5
20150707,83.0,68.0
20150708,73.5,66.5
20150709,81.0,66.0
20150710,75.0,63.5
20150711,82.5,60.5
20150712,85.5,67.5
20150713,81.0,66.0
20150714,89.5,68.0
20150715,82.5,64.5
20150716,83.0,60.0
20150717,89.5,66.5
20150718,92.0,68.0
20150719,90.0,70.0
20150720,89.0,70.0
20150721,86.0,67.0
20150722,81.0,57.0
20150723,84.0,58.0
20150724,87.0,62.0
